"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot"
"Michael Adams","Arizona Cardinals","crd",2009,16,3,0,"hamstring",8,14,0,0,0,0,0,0,1,0
"Jason Banks","Arizona Cardinals","crd",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Bertrand Berry","Arizona Cardinals","crd",2009,16,1,0,"illness",13,13,0,0,0,0,0,0,0,0
"Anquan Boldin","Arizona Cardinals","crd",2009,16,6,1,"hamstring  ankle",1,9,0,0,0,0,0,0,1,1
"Alan Branch","Arizona Cardinals","crd",2009,16,1,0,"ankle",13,13,0,0,0,0,0,0,0,1
"Steve Breaston","Arizona Cardinals","crd",2009,16,11,1,"knee",1,11,0,0,0,0,0,0,1,0
"Cody Brown","Arizona Cardinals","crd",2009,16,16,16,"wrist",1,16,0,0,0,0,0,1,0,0
"Levi Brown","Arizona Cardinals","crd",2009,16,2,0,"ankle knee",3,6,0,0,0,0,0,0,1,1
"Calais Campbell","Arizona Cardinals","crd",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Karlos Dansby","Arizona Cardinals","crd",2009,16,3,0,"shoulder",10,12,0,1,0,0,0,0,0,0
"Will Davis","Arizona Cardinals","crd",2009,16,7,5,"knee",3,16,0,0,0,0,0,0,1,0
"Darnell Dockett","Arizona Cardinals","crd",2009,16,4,0,"ankle",3,8,0,0,0,0,0,0,0,1
"Early Doucet","Arizona Cardinals","crd",2009,16,3,3,"ribs",1,3,0,0,1,0,0,0,0,0
"Larry Fitzgerald","Arizona Cardinals","crd",2009,16,3,0,"knee elbow",14,16,0,0,0,0,1,0,1,0
"Mike Gandy","Arizona Cardinals","crd",2009,16,8,4,"pelvis hernia",9,16,0,0,1,1,0,0,0,0
"Ben Graham","Arizona Cardinals","crd",2009,16,2,0,"groin",13,14,0,0,0,0,0,0,1,0
"Justin Green","Arizona Cardinals","crd",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"Clark Haggans","Arizona Cardinals","crd",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Gerald Hayes","Arizona Cardinals","crd",2009,16,5,2,"back",8,14,0,0,1,0,0,0,0,0
"Ali Highsmith","Arizona Cardinals","crd",2009,16,2,0,"hamstring thigh",3,5,0,0,0,0,0,0,2,0
"Tim Hightower","Arizona Cardinals","crd",2009,16,3,0,"thumb",12,14,0,0,0,0,0,1,0,0
"Kenny Iwebema","Arizona Cardinals","crd",2009,16,14,5,"ankle knee thumb shoulder head",2,16,1,1,0,0,0,1,1,1
"Herman Johnson","Arizona Cardinals","crd",2009,16,1,1,"back",8,8,0,0,1,0,0,0,0,0
"Rashad Johnson","Arizona Cardinals","crd",2009,16,2,0,"ankle",3,4,0,0,0,0,0,0,0,1
"Dan Kreider","Arizona Cardinals","crd",2009,16,2,1,"thigh neck",13,16,1,0,0,0,0,0,1,0
"Deuce Lutui","Arizona Cardinals","crd",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Bryant McFadden","Arizona Cardinals","crd",2009,16,7,0,"groin ankle knee hamstring",3,15,0,0,0,0,0,0,3,1
"Sean Morey","Arizona Cardinals","crd",2009,16,8,3,"ribs  illness head concussion head",1,16,3,0,1,0,0,0,0,0
"Chike Okeafor","Arizona Cardinals","crd",2009,16,5,3,"shoulder back",2,11,0,1,1,0,0,0,0,0
"Ben Patrick","Arizona Cardinals","crd",2009,16,5,3,"served knee head",5,16,1,0,0,0,0,0,1,0
"Neil Rackers","Arizona Cardinals","crd",2009,16,7,2,"hamstring groin",8,16,0,0,0,0,0,0,2,0
"Dominique Rodgers-Cromartie","Arizona Cardinals","crd",2009,16,7,0,"finger ankle toe",4,15,0,0,0,0,0,1,0,2
"Antrel Rolle","Arizona Cardinals","crd",2009,16,5,1,"quadriceps foot thigh",3,16,0,0,0,0,0,0,2,1
"Stephen Spach","Arizona Cardinals","crd",2009,16,7,7,"ankle knee",5,14,0,0,0,0,0,0,1,1
"Brian St. Pierre","Arizona Cardinals","crd",2009,16,3,3,"back",1,3,0,0,1,0,0,0,0,0
"Pago Togafau","Arizona Cardinals","crd",2009,16,16,14,"foot",1,16,0,0,0,0,0,0,0,1
"Greg Toler","Arizona Cardinals","crd",2009,16,1,0,"elbow",16,16,0,0,0,0,1,0,0,0
"Matt Ware","Arizona Cardinals","crd",2009,16,5,5,"shoulder knee",2,16,0,1,0,0,0,0,1,0
"Kurt Warner","Arizona Cardinals","crd",2009,16,4,1,"shoulder head",3,12,1,1,0,0,0,0,0,0
"Beanie Wells","Arizona Cardinals","crd",2009,16,2,0,"hip groin",6,16,0,0,0,1,0,0,1,0
"Reggie Wells","Arizona Cardinals","crd",2009,16,9,0,"thumb",2,10,0,0,0,0,0,1,0,0
"Adrian Wilson","Arizona Cardinals","crd",2009,16,1,0,"groin",10,10,0,0,0,0,0,0,1,0
"Jason Wright","Arizona Cardinals","crd",2009,16,3,0,"back thumb illness",5,13,0,0,1,0,0,1,0,0
"John Abraham","Atlanta Falcons","atl",2009,16,3,0,"knee  foot",1,8,0,0,0,0,0,0,1,1
"Jamaal Anderson","Atlanta Falcons","atl",2009,16,3,3,"chest",14,16,0,0,1,0,0,0,0,0
"Jonathan Babineaux","Atlanta Falcons","atl",2009,16,6,0,"ankle shoulder",7,16,0,1,0,0,0,0,0,1
"Sam Baker","Atlanta Falcons","atl",2009,16,10,2,"ankle elbow elbow hamstring",7,16,0,0,0,0,2,0,1,1
"Kroy Biermann","Atlanta Falcons","atl",2009,16,2,0,"neck",7,9,1,0,0,0,0,0,0,0
"Marty Booker","Atlanta Falcons","atl",2009,16,1,0,"abdomen",5,5,0,0,1,0,0,0,0,0
"Matt Bryant","Atlanta Falcons","atl",2009,16,1,0,"hamstring",16,16,0,0,0,0,0,0,1,0
"Tyson Clabo","Atlanta Falcons","atl",2009,16,1,0,"knee",11,11,0,0,0,0,0,0,1,0
"Erik Coleman","Atlanta Falcons","atl",2009,16,2,0,"knee",10,11,0,0,0,0,0,0,1,0
"Harvey Dahl","Atlanta Falcons","atl",2009,16,5,5,"ankle ankle achilles",12,16,0,0,0,0,0,0,0,3
"Chauncey Davis","Atlanta Falcons","atl",2009,16,1,0,"foot",1,1,0,0,0,0,0,0,0,1
"Harry Douglas","Atlanta Falcons","atl",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"Jason Elam","Atlanta Falcons","atl",2009,16,4,0,"hamstring",2,5,0,0,0,0,0,0,1,0
"Brian Finneran","Atlanta Falcons","atl",2009,16,8,6,"ankle knee",8,16,0,0,0,0,0,0,1,1
"Tony Gilbert","Atlanta Falcons","atl",2009,16,7,4,"hamstring  knee",1,16,0,0,0,0,0,0,2,0
"Tony Gonzalez","Atlanta Falcons","atl",2009,16,2,0,"back calf",3,16,0,0,1,0,0,0,1,0
"Antoine Harris","Atlanta Falcons","atl",2009,16,7,6,"knee",4,16,0,0,0,0,0,0,1,0
"Chris Houston","Atlanta Falcons","atl",2009,16,4,4,"hamstring",13,16,0,0,0,0,0,0,1,0
"Michael Jenkins","Atlanta Falcons","atl",2009,16,3,1,"ankle",12,14,0,0,0,0,0,0,0,1
"Peria Jerry","Atlanta Falcons","atl",2009,16,15,14,"chest knee",2,16,0,0,1,0,0,0,1,0
"Thomas Johnson","Atlanta Falcons","atl",2009,16,4,3,"calf knee",7,16,0,0,0,0,0,0,2,0
"Michael Koenen","Atlanta Falcons","atl",2009,16,1,0,"head",16,16,1,0,0,0,0,0,0,0
"Curtis Lofton","Atlanta Falcons","atl",2009,16,6,0,"knee ankle knee knee groin shoulder hamstring",8,16,0,1,0,0,0,0,5,1
"Todd McClure","Atlanta Falcons","atl",2009,16,3,0,"calf  knee",1,14,0,0,0,0,0,0,2,0
"William Moore","Atlanta Falcons","atl",2009,16,14,14,"hamstring",1,16,0,0,0,0,0,0,1,0
"Ovie Mughelli","Atlanta Falcons","atl",2009,16,4,2,"hamstring calf",4,7,0,0,0,0,0,0,2,0
"Jerious Norwood","Atlanta Falcons","atl",2009,16,8,6,"knee  head hip",1,11,1,0,0,1,0,0,1,0
"Chris Owens","Atlanta Falcons","atl",2009,16,3,0,"shoulder ankle",7,16,0,1,0,0,0,0,0,1
"Justin Peelle","Atlanta Falcons","atl",2009,16,4,1,"back ankle concussion head",3,14,2,0,1,0,0,0,0,1
"Charlie Peprah","Atlanta Falcons","atl",2009,16,2,2,"hamstring",15,16,0,0,0,0,0,0,1,0
"Matt Ryan","Atlanta Falcons","atl",2009,16,5,2,"toe",12,16,0,0,0,0,0,0,0,1
"Mike Schneck","Atlanta Falcons","atl",2009,16,3,1,"knee  back ribs",1,8,0,0,2,0,0,0,1,0
"Jason Snelling","Atlanta Falcons","atl",2009,16,3,2,"hamstring",7,9,0,0,0,0,0,0,1,0
"Will Svitek","Atlanta Falcons","atl",2009,16,2,0,"ankle",13,14,0,0,0,0,0,0,0,1
"Michael Turner","Atlanta Falcons","atl",2009,16,7,5,"chest ankle",6,16,0,0,1,0,0,0,0,1
"Eric Weems","Atlanta Falcons","atl",2009,16,2,0,"ankle head",8,16,1,0,0,0,0,0,0,1
"Roddy White","Atlanta Falcons","atl",2009,16,7,0,"knee",8,14,0,0,0,0,0,0,1,0
"Brian Williams","Atlanta Falcons","atl",2009,16,12,11,"eye knee",5,16,1,0,0,0,0,0,1,0
"Keith Zinger","Atlanta Falcons","atl",2009,16,1,0,"back",8,8,0,0,1,0,0,0,0,0
"Brendon Ayanbadejo","Baltimore Ravens","rav",2009,16,13,12,"foot  quadriceps",1,16,0,0,0,0,0,0,1,1
"Justin Bannan","Baltimore Ravens","rav",2009,16,3,0,"knee illness",3,15,0,0,0,0,0,0,1,0
"Antwan Barnes","Baltimore Ravens","rav",2009,16,1,0,"shoulder",4,4,0,1,0,0,0,0,0,0
"Matt Birk","Baltimore Ravens","rav",2009,16,5,0,"neck",10,15,1,0,0,0,0,0,0,0
"Prescott Burgess","Baltimore Ravens","rav",2009,16,2,0,"illness thigh",8,12,0,0,0,0,0,0,1,0
"Chris Carr","Baltimore Ravens","rav",2009,16,2,0,"groin illness",5,9,0,0,0,0,0,0,1,0
"Mark Clayton","Baltimore Ravens","rav",2009,16,4,2,"shoulder hamstring knee",6,15,0,1,0,0,0,0,2,0
"Oniel Cousins","Baltimore Ravens","rav",2009,16,1,0,"knee",16,16,0,0,0,0,0,0,1,0
"Billy Cundiff","Baltimore Ravens","rav",2009,16,1,0,"concussion",13,13,1,0,0,0,0,0,0,0
"Lamar Divens","Baltimore Ravens","rav",2009,16,16,16,"hip",1,16,0,0,0,1,0,0,0,0
"Dannell Ellerbe","Baltimore Ravens","rav",2009,16,3,2,"knee  illness",1,9,0,0,0,0,0,0,1,0
"Joe Flacco","Baltimore Ravens","rav",2009,16,4,0,"ankle knee knee hip",7,13,0,0,0,1,0,0,2,1
"Jared Gaither","Baltimore Ravens","rav",2009,16,10,5,"illness neck foot",3,16,1,0,0,0,0,0,0,1
"K.J. Gerard","Baltimore Ravens","rav",2009,16,4,4,"thigh hamstring",12,16,0,0,0,0,0,0,2,0
"Tavares Gooden","Baltimore Ravens","rav",2009,16,8,4,"knee shoulder head shoulder head concussion groin",2,16,3,2,0,0,0,0,2,0
"David Hale","Baltimore Ravens","rav",2009,16,1,1,"head",13,13,1,0,0,0,0,0,0,0
"Justin Harper","Baltimore Ravens","rav",2009,16,1,1,"foot",15,15,0,0,0,0,0,0,0,1
"Stephen Hauschka","Baltimore Ravens","rav",2009,16,1,0,"ankle",7,7,0,0,0,0,0,0,0,1
"Todd Heap","Baltimore Ravens","rav",2009,16,6,0,"back ankle chest",4,15,0,0,2,0,0,0,0,1
"Jarret Johnson","Baltimore Ravens","rav",2009,16,14,0,"shoulder back knee back knee back knee",2,16,0,1,3,0,0,0,3,0
"Edgar Jones","Baltimore Ravens","rav",2009,16,2,0,"hamstring back",6,15,0,0,1,0,0,0,1,0
"Matt Katula","Baltimore Ravens","rav",2009,16,2,0,"elbow forearm",8,15,1,0,0,0,2,0,0,0
"Matt Lawrence","Baltimore Ravens","rav",2009,16,8,8,"knee",9,16,0,0,0,0,0,0,1,0
"Ray Lewis","Baltimore Ravens","rav",2009,16,4,0,"head foot",4,12,1,0,0,0,0,0,0,1
"Derrick Mason","Baltimore Ravens","rav",2009,16,4,0,"illness neck finger knee",4,16,1,0,0,0,0,1,1,0
"Le'Ron McClain","Baltimore Ravens","rav",2009,16,2,0,"shoulder chest",8,12,0,1,1,0,0,0,0,0
"Brandon McKinney","Baltimore Ravens","rav",2009,16,4,4,"back",13,16,0,0,1,0,0,0,0,0
"Haruki Nakamura","Baltimore Ravens","rav",2009,16,9,7,"chest ankle",8,16,0,0,1,0,0,0,0,1
"Haloti Ngata","Baltimore Ravens","rav",2009,16,10,2,"knee  back ankle",1,15,0,0,1,0,0,0,1,1
"Marcus Paschal","Baltimore Ravens","rav",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Jason Phillips","Baltimore Ravens","rav",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"Trevor Pryce","Baltimore Ravens","rav",2009,16,2,0,"illness",4,16,0,0,0,0,0,0,0,0
"Ed Reed","Baltimore Ravens","rav",2009,16,11,4,"concussion neck knee illness wrist foot ankle hip groin foot groin",2,16,2,0,0,1,0,1,3,3
"Ray Rice","Baltimore Ravens","rav",2009,16,1,0,"chest",14,14,0,0,1,0,0,0,0,0
"Samari Rolle","Baltimore Ravens","rav",2009,16,16,16,"neck",1,16,1,0,0,0,0,0,0,0
"L.J. Smith","Baltimore Ravens","rav",2009,16,8,4,"hamstring  illness ankle",1,15,0,0,0,0,0,0,1,1
"Marcus Smith","Baltimore Ravens","rav",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"Troy Smith","Baltimore Ravens","rav",2009,16,1,1,"illness",4,4,0,0,0,0,0,0,0,0
"Terrell Suggs","Baltimore Ravens","rav",2009,16,7,3,"concussion knee thigh",2,16,1,0,0,0,0,0,2,0
"Quinn Sypniewski","Baltimore Ravens","rav",2009,16,16,16,"undisclosed",1,16,0,0,0,0,0,0,0,0
"Kelly Talavou","Baltimore Ravens","rav",2009,16,1,1,"knee",15,15,0,0,0,0,0,0,1,0
"Adam Terry","Baltimore Ravens","rav",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"David Tyree","Baltimore Ravens","rav",2009,16,2,1,"hamstring",6,7,0,0,0,0,0,0,1,0
"Frank Walker","Baltimore Ravens","rav",2009,16,1,1,"illness",8,8,0,0,0,0,0,0,0,0
"Fabian Washington","Baltimore Ravens","rav",2009,16,8,6,"concussion illness thigh knee",3,16,1,0,0,0,0,0,2,0
"Kelley Washington","Baltimore Ravens","rav",2009,16,5,1,"groin back illness ankle",4,15,0,0,1,0,0,0,1,1
"Lardarius Webb","Baltimore Ravens","rav",2009,16,3,2,"illness knee",9,16,0,0,0,0,0,0,1,0
"Cary Williams","Baltimore Ravens","rav",2009,16,2,0,"thigh",12,16,0,0,0,0,0,0,1,0
"Demetrius Williams","Baltimore Ravens","rav",2009,16,2,0,"illness",5,12,0,0,0,0,0,0,0,0
"Marshal Yanda","Baltimore Ravens","rav",2009,16,0,0,"",NA,NA,0,0,0,0,0,0,0,0
"Tom Zbikowski","Baltimore Ravens","rav",2009,16,3,1,"concussion illness",2,8,1,0,0,0,0,0,0,0
"Demetress Bell","Buffalo Bills","buf",2009,16,9,8,"groin knee",4,16,0,0,0,0,0,0,2,0
"Marcus Buggs","Buffalo Bills","buf",2009,16,11,11,"knee",6,16,0,0,0,0,0,0,1,0
"Brad Butler","Buffalo Bills","buf",2009,16,14,14,"knee",3,16,0,0,0,0,0,0,1,0
"Jairus Byrd","Buffalo Bills","buf",2009,16,9,2,"hip groin undisclosed",5,16,0,0,0,1,0,0,1,0
"Kirk Chambers","Buffalo Bills","buf",2009,16,1,0,"ankle",13,13,0,0,0,0,0,0,0,1
"Ryan Denney","Buffalo Bills","buf",2009,16,1,0,"shoulder",13,13,0,1,0,0,0,0,0,0
"Chris Draft","Buffalo Bills","buf",2009,16,2,0,"neck",12,13,1,0,0,0,0,0,0,0
"Trent Edwards","Buffalo Bills","buf",2009,16,5,4,"concussion ankle",7,16,1,0,0,0,0,0,0,1
"Chris Ellis","Buffalo Bills","buf",2009,16,2,2,"personal",4,5,0,0,0,0,0,0,0,0
"Keith Ellison","Buffalo Bills","buf",2009,16,9,8,"knee thigh",6,16,0,0,0,0,0,0,2,0
"Derek Fine","Buffalo Bills","buf",2009,16,9,8,"hamstring  knee",1,16,0,0,0,0,0,0,2,0
"Ryan Fitzpatrick","Buffalo Bills","buf",2009,16,2,1,"ankle",15,16,0,0,0,0,0,0,0,1
"Drayton Florence","Buffalo Bills","buf",2009,16,4,2,"knee  illness",1,15,0,0,0,0,0,0,1,0
"Geoff Hangartner","Buffalo Bills","buf",2009,16,1,0,"back",3,3,0,0,1,0,0,0,0,0
"James Hardy","Buffalo Bills","buf",2009,16,12,11,"knee groin  illness",1,15,0,0,0,0,0,0,2,0
"Nic Harris","Buffalo Bills","buf",2009,16,3,1,"personal knee",11,16,0,0,0,0,0,0,1,0
"Justin Jenkins","Buffalo Bills","buf",2009,16,3,1,"illness knee",10,14,0,0,0,0,0,0,1,0
"Spencer Johnson","Buffalo Bills","buf",2009,16,1,0,"thigh",1,1,0,0,0,0,0,0,1,0
"Steve Johnson","Buffalo Bills","buf",2009,16,1,1,"ankle",16,16,0,0,0,0,0,0,0,1
"Todd Johnson","Buffalo Bills","buf",2009,16,3,2,"hamstring",13,16,0,0,0,0,0,0,1,0
"Chris Kelsay","Buffalo Bills","buf",2009,16,5,0,"knee eye back shoulder",2,12,1,1,1,0,0,0,1,0
"Joe Klopfenstein","Buffalo Bills","buf",2009,16,2,2,"ankle",13,14,0,0,0,0,0,0,0,1
"Ellis Lankster","Buffalo Bills","buf",2009,16,1,1,"back",5,5,0,0,1,0,0,0,0,0
"Andy Levitre","Buffalo Bills","buf",2009,16,1,0,"shoulder",13,13,0,1,0,0,0,0,0,0
"Marshawn Lynch","Buffalo Bills","buf",2009,16,2,0,"served shoulder",4,11,0,1,0,0,0,0,0,0
"John McCargo","Buffalo Bills","buf",2009,16,6,5,"calf",3,13,0,0,0,0,0,0,1,0
"Terrence McGee","Buffalo Bills","buf",2009,16,12,5,"back ankle knee chest shoulder",2,16,0,1,2,0,0,0,1,1
"Corey McIntyre","Buffalo Bills","buf",2009,16,2,1,"knee",8,9,0,0,0,0,0,0,1,0
"Leodis McKelvin","Buffalo Bills","buf",2009,16,14,13,"fibula",3,16,0,0,0,0,0,0,1,0
"Seth McKinney","Buffalo Bills","buf",2009,16,6,6,"knee",11,16,0,0,0,0,0,0,1,0
"Jamon Meredith","Buffalo Bills","buf",2009,16,2,2,"knee ankle",9,14,0,0,0,0,0,0,1,1
"Kawika Mitchell","Buffalo Bills","buf",2009,16,11,11,"knee",6,16,0,0,0,0,0,0,1,0
"Shawn Nelson","Buffalo Bills","buf",2009,16,7,4,"shoulder illness",3,16,0,1,0,0,0,0,0,0
"Xavier Omon","Buffalo Bills","buf",2009,16,1,1,"illness",7,7,0,0,0,0,0,0,0,0
"Terrell Owens","Buffalo Bills","buf",2009,16,2,0,"hip illness",9,14,0,0,0,1,0,0,0,0
"Ashlee Palmer","Buffalo Bills","buf",2009,16,2,1,"ankle",15,16,0,0,0,0,0,0,0,1
"Roscoe Parrish","Buffalo Bills","buf",2009,16,4,2,"quadriceps thigh knee illness",3,10,0,0,0,0,0,0,3,0
"Paul Posluszny","Buffalo Bills","buf",2009,16,5,4,"arm",2,6,0,0,0,0,1,0,0,0
"Andre Ramsey","Buffalo Bills","buf",2009,16,1,1,"calf",16,16,0,0,0,0,0,0,1,0
"Josh Reed","Buffalo Bills","buf",2009,16,4,2,"ankle fibula",3,16,0,0,0,0,0,0,1,1
"Aaron Schobel","Buffalo Bills","buf",2009,16,2,0,"back groin",2,9,0,0,1,0,0,0,1,0
"Derek Schouman","Buffalo Bills","buf",2009,16,14,14,"knee",3,16,0,0,0,0,0,0,1,0
"Bryan Scott","Buffalo Bills","buf",2009,16,8,7,"ankle head",4,16,1,0,0,0,0,0,0,1
"Jonathan Scott","Buffalo Bills","buf",2009,16,6,5,"ankle eye",6,16,1,0,0,0,0,0,0,1
"Kendall Simmons","Buffalo Bills","buf",2009,16,2,2,"shoulder",14,15,0,1,0,0,0,0,0,0
"Marcus Stroud","Buffalo Bills","buf",2009,16,4,1,"knee back",10,16,0,0,1,0,0,0,1,0
"Jonathan Stupar","Buffalo Bills","buf",2009,16,1,0,"knee",16,16,0,0,0,0,0,0,1,0
"Donte Whitner","Buffalo Bills","buf",2009,16,7,6,"thumb ankle illness",4,16,0,0,0,0,0,1,0,1
"Kyle Williams","Buffalo Bills","buf",2009,16,4,2,"groin knee",4,10,0,0,0,0,0,0,2,0
"Eric Wood","Buffalo Bills","buf",2009,16,6,6,"tibia fibula",11,16,0,0,0,0,0,0,2,0
"Ashton Youboty","Buffalo Bills","buf",2009,16,4,4,"ankle",10,13,0,0,0,0,0,0,0,1
"James Anderson","Carolina Panthers","car",2009,16,1,0,"concussion",5,5,1,0,0,0,0,0,0,0
"Jon Beason","Carolina Panthers","car",2009,16,1,0,"knee",5,5,0,0,0,0,0,0,1,0
"Mackenzy Bernadeau","Carolina Panthers","car",2009,16,1,0,"knee",12,12,0,0,0,0,0,0,1,0
"Tyler Brayton","Carolina Panthers","car",2009,16,2,1,"concussion",13,14,1,0,0,0,0,0,0,0
"Everette Brown","Carolina Panthers","car",2009,16,3,1,"ankle",2,4,0,0,0,0,0,0,0,1
"Dan Connor","Carolina Panthers","car",2009,16,1,0,"shoulder",3,3,0,1,0,0,0,0,0,0
"C.J. Davis","Carolina Panthers","car",2009,16,16,16,"ankle",1,16,0,0,0,0,0,0,0,1
"Thomas Davis","Carolina Panthers","car",2009,16,10,9,"hamstring knee",6,16,0,0,0,0,0,0,2,0
"Jake Delhomme","Carolina Panthers","car",2009,16,6,5,"chest finger",8,16,0,0,1,0,0,1,0,0
"Na'il Diggs","Carolina Panthers","car",2009,16,7,2,"rib ribs",3,14,0,0,2,0,0,0,0,0
"Tony Fiammetta","Carolina Panthers","car",2009,16,3,1,"ankle concussion",4,9,1,0,0,0,0,0,0,1
"Charles Godfrey","Carolina Panthers","car",2009,16,5,4,"ankle",7,11,0,0,0,0,0,0,0,1
"Mike Goodson","Carolina Panthers","car",2009,16,2,1,"illness concussion",3,4,1,0,0,0,0,0,0,0
"Jordan Gross","Carolina Panthers","car",2009,16,8,7,"knee ankle",3,16,0,0,0,0,0,0,1,1
"Chris Harris","Carolina Panthers","car",2009,16,4,3,"knee",1,4,0,0,0,0,0,0,1,0
"Nick Hayden","Carolina Panthers","car",2009,16,3,2,"toe",2,5,0,0,0,0,0,0,0,1
"Brad Hoover","Carolina Panthers","car",2009,16,8,5,"back ankle",3,12,0,0,1,0,0,0,0,1
"Corvey Irvin","Carolina Panthers","car",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0
"Dwayne Jarrett","Carolina Panthers","car",2009,16,2,1,"ankle",12,13,0,0,0,0,0,0,0,1
"Charles Johnson","Carolina Panthers","car",2009,16,6,3,"knee illness pectoral",2,13,0,0,1,0,0,0,1,0
"Landon Johnson","Carolina Panthers","car",2009,16,8,6,"shoulder knee",7,16,0,1,0,0,0,0,1,0
"John Kasay","Carolina Panthers","car",2009,16,2,0,"groin",8,9,0,0,0,0,0,0,1,0
"Ma'ake Kemoeatu","Carolina Panthers","car",2009,16,16,16,"achilles",1,16,0,0,0,0,0,0,0,1
"Louis Leonard","Carolina Panthers","car",2009,16,14,14,"ankle",3,16,0,0,0,0,0,0,0,1
"Damione Lewis","Carolina Panthers","car",2009,16,2,0,"shoulder",10,11,0,1,0,0,0,0,0,0
"Rhys Lloyd","Carolina Panthers","car",2009,16,2,0,"ankle",6,7,0,0,0,0,0,0,0,1
"Richard Marshall","Carolina Panthers","car",2009,16,3,0,"ankle",14,16,0,0,0,0,0,0,0,1
"Sherrod Martin","Carolina Panthers","car",2009,16,3,0,"knee",1,3,0,0,0,0,0,0,1,0
"Josh McCown","Carolina Panthers","car",2009,16,15,15,"foot",2,16,0,0,0,0,0,0,0,1
"Matt Moore","Carolina Panthers","car",2009,16,2,0,"shoulder rib",15,16,0,1,1,0,0,0,0,0
"Muhsin Muhammad","Carolina Panthers","car",2009,16,9,2,"leg ankle knee",2,16,0,0,0,0,0,0,2,1
"Captain Munnerlyn","Carolina Panthers","car",2009,16,4,1,"illness shoulder concussion",3,13,1,1,0,0,0,0,0,0
"Jeff Otah","Carolina Panthers","car",2009,16,5,3,"shoulder knee",2,16,0,1,0,0,0,0,1,0
"Julius Peppers","Carolina Panthers","car",2009,16,2,0,"hand",9,11,0,0,0,0,0,1,0,0
"Dante Rosario","Carolina Panthers","car",2009,16,4,2,"ankle knee",5,9,0,0,0,0,0,0,1,1
"Nate Salley","Carolina Panthers","car",2009,16,2,2,"knee",1,2,0,0,0,0,0,0,1,0
"Geoff Schwartz","Carolina Panthers","car",2009,16,1,0,"groin",16,16,0,0,0,0,0,0,1,0
"Steve Smith","Carolina Panthers","car",2009,16,6,1,"ankle knee back ribs rib arm",3,16,0,0,3,0,1,0,1,1
"Jonathan Stewart","Carolina Panthers","car",2009,16,15,0,"heel achilles toe",2,16,0,0,0,0,0,0,0,3
"Tyrell Sutton","Carolina Panthers","car",2009,16,3,2,"thigh calf",14,16,0,0,0,0,0,0,2,0
"Tank Tyler","Carolina Panthers","car",2009,16,5,5,"knee",12,16,0,0,0,0,0,0,1,0
"Dante Wesley","Carolina Panthers","car",2009,16,1,0,"served",7,7,0,0,0,0,0,0,0,0
"DeAngelo Williams","Carolina Panthers","car",2009,16,7,3,"knee ankle",9,16,0,0,0,0,0,0,1,1
"Anthony Adams","Chicago Bears","chi",2009,16,2,0,"knee toe",4,5,0,0,0,0,0,0,1,1
"Gaines Adams","Chicago Bears","chi",2009,16,1,0,"ankle",15,15,0,0,0,0,0,0,0,1
"Al Afalava","Chicago Bears","chi",2009,16,6,3,"shoulder knee",2,16,0,1,0,0,0,0,1,0
"Mark Anderson","Chicago Bears","chi",2009,16,1,0,"toe",2,2,0,0,0,0,0,0,0,1
"Devin Aromashodu","Chicago Bears","chi",2009,16,1,1,"quadriceps",1,1,0,0,0,0,0,0,1,0
"Zackary Bowman","Chicago Bears","chi",2009,16,3,0,"knee undisclosed illness",7,14,0,0,0,0,0,0,1,0
"Lance Briggs","Chicago Bears","chi",2009,16,8,1,"foot shoulder knee back",4,16,0,1,1,0,0,0,1,1
"Alex Brown","Chicago Bears","chi",2009,16,4,0,"ankle leg calf",3,12,0,0,0,0,0,0,2,1
"Josh Bullocks","Chicago Bears","chi",2009,16,1,0,"ankle",6,6,0,0,0,0,0,0,0,1
"Desmond Clark","Chicago Bears","chi",2009,16,8,5,"rib neck illness",2,15,1,0,1,0,0,0,0,0
"Kellen Davis","Chicago Bears","chi",2009,16,1,0,"ankle",11,11,0,0,0,0,0,0,0,1
"Dusty Dvoracek","Chicago Bears","chi",2009,16,2,2,"knee",1,2,0,0,0,0,0,0,1,0
"Matt Forte","Chicago Bears","chi",2009,16,1,0,"knee",4,4,0,0,0,0,0,0,1,0
"Roberto Garza","Chicago Bears","chi",2009,16,1,0,"ankle",11,11,0,0,0,0,0,0,0,1
"Corey Graham","Chicago Bears","chi",2009,16,1,0,"ankle",6,6,0,0,0,0,0,0,0,1
"Tommie Harris","Chicago Bears","chi",2009,16,15,1,"knee",2,16,0,0,0,0,0,0,1,0
