position_group,avg_injury_burden,total_games_missed,total_games_injured,player_seasons,black_share
RB,7.866283249460819,4251,6691,1391,80.4054054054054
LB,7.656488549618321,4701,8338,1703,53.70370370370371
DB,7.450592885375494,6253,10712,2277,70.56074766355141
OL,7.425860023724792,7280,11500,2529,36.254980079681275
WR,7.292274446245273,4985,8513,1851,72.14854111405835
TE,7.157625383828045,2691,4302,977,23.4375
DL,7.086165048543689,4064,7614,1648,70.54455445544554
QB,7.05531914893617,1251,2065,470,21.666666666666668
