position_group,race,count,position_total,percent_of_position
DB,White,3,3,100.0
QB,White,2317,2805,82.6
QB,Black,391,2805,13.94
QB,Latino,69,2805,2.46
QB,Pacific Islander,28,2805,1.0
WR,Black,10,18,55.56
WR,White,8,18,44.44
