name,full_team,team,year,games_in_season,num_games_injured,num_games_missing,injury_types,earliest_injury,latest_injury,head,shoulder,upper_torso,lower_torso,arm,hand,leg,foot,position_id,clean_name,nflverse_position_group,position_group,injury_burden
Michael Adams,Arizona Cardinals,crd,2009,16,3,0,hamstring,8.0,14.0,0,0,0,0,0,0,1,0,DEF,michael adams,DB,DB,3
Jason Banks,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,jason banks,DL,DL,0
Bertrand Berry,Arizona Cardinals,crd,2009,16,1,0,illness,13.0,13.0,0,0,0,0,0,0,0,0,DEF,bertrand berry,,,1
Anquan Boldin,Arizona Cardinals,crd,2009,16,6,1,hamstring  ankle,1.0,9.0,0,0,0,0,0,0,1,1,WR,anquan boldin,WR,WR,7
Alan Branch,Arizona Cardinals,crd,2009,16,1,0,ankle,13.0,13.0,0,0,0,0,0,0,0,1,DEF,alan branch,DL,DL,1
Steve Breaston,Arizona Cardinals,crd,2009,16,11,1,knee,1.0,11.0,0,0,0,0,0,0,1,0,WR,steve breaston,WR,WR,12
Cody Brown,Arizona Cardinals,crd,2009,16,16,16,wrist,1.0,16.0,0,0,0,0,0,1,0,0,,,,,32
Levi Brown,Arizona Cardinals,crd,2009,16,2,0,ankle knee,3.0,6.0,0,0,0,0,0,0,1,1,OL,levi brown,OL,OL,2
Calais Campbell,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,calais campbell,DL,DL,0
Karlos Dansby,Arizona Cardinals,crd,2009,16,3,0,shoulder,10.0,12.0,0,1,0,0,0,0,0,0,DEF,karlos dansby,LB,LB,3
Will Davis,Arizona Cardinals,crd,2009,16,7,5,knee,3.0,16.0,0,0,0,0,0,0,1,0,DEF,will davis,LB,LB,12
Darnell Dockett,Arizona Cardinals,crd,2009,16,4,0,ankle,3.0,8.0,0,0,0,0,0,0,0,1,DEF,darnell dockett,DL,DL,4
Early Doucet,Arizona Cardinals,crd,2009,16,3,3,ribs,1.0,3.0,0,0,1,0,0,0,0,0,WR,early doucet,WR,WR,6
Larry Fitzgerald,Arizona Cardinals,crd,2009,16,3,0,knee elbow,14.0,16.0,0,0,0,0,1,0,1,0,WR,larry fitzgerald,WR,WR,3
Mike Gandy,Arizona Cardinals,crd,2009,16,8,4,pelvis hernia,9.0,16.0,0,0,1,1,0,0,0,0,OL,mike gandy,OL,OL,12
Ben Graham,Arizona Cardinals,crd,2009,16,2,0,groin,13.0,14.0,0,0,0,0,0,0,1,0,P,ben graham,,,2
Justin Green,Arizona Cardinals,crd,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
Clark Haggans,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,clark haggans,LB,LB,0
Gerald Hayes,Arizona Cardinals,crd,2009,16,5,2,back,8.0,14.0,0,0,1,0,0,0,0,0,DEF,gerald hayes,LB,LB,7
Ali Highsmith,Arizona Cardinals,crd,2009,16,2,0,hamstring thigh,3.0,5.0,0,0,0,0,0,0,2,0,DEF,ali highsmith,LB,LB,2
Tim Hightower,Arizona Cardinals,crd,2009,16,3,0,thumb,12.0,14.0,0,0,0,0,0,1,0,0,RB,tim hightower,RB,RB,3
Kenny Iwebema,Arizona Cardinals,crd,2009,16,14,5,ankle knee thumb shoulder head,2.0,16.0,1,1,0,0,0,1,1,1,DEF,kenny iwebema,DL,DL,19
Herman Johnson,Arizona Cardinals,crd,2009,16,1,1,back,8.0,8.0,0,0,1,0,0,0,0,0,,,,,2
Rashad Johnson,Arizona Cardinals,crd,2009,16,2,0,ankle,3.0,4.0,0,0,0,0,0,0,0,1,DEF,rashad johnson,DB,DB,2
Dan Kreider,Arizona Cardinals,crd,2009,16,2,1,thigh neck,13.0,16.0,1,0,0,0,0,0,1,0,RB,dan kreider,RB,RB,3
Deuce Lutui,Arizona Cardinals,crd,2009,16,0,0,,,,0,0,0,0,0,0,0,0,OL,deuce lutui,OL,OL,0
Bryant McFadden,Arizona Cardinals,crd,2009,16,7,0,groin ankle knee hamstring,3.0,15.0,0,0,0,0,0,0,3,1,DEF,bryant mcfadden,DB,DB,7
Sean Morey,Arizona Cardinals,crd,2009,16,8,3,ribs  illness head concussion head,1.0,16.0,3,0,1,0,0,0,0,0,WR,sean morey,WR,WR,11
Chike Okeafor,Arizona Cardinals,crd,2009,16,5,3,shoulder back,2.0,11.0,0,1,1,0,0,0,0,0,DEF,chike okeafor,LB,LB,8
Ben Patrick,Arizona Cardinals,crd,2009,16,5,3,served knee head,5.0,16.0,1,0,0,0,0,0,1,0,TE,ben patrick,TE,TE,8
Neil Rackers,Arizona Cardinals,crd,2009,16,7,2,hamstring groin,8.0,16.0,0,0,0,0,0,0,2,0,K,neil rackers,,,9
Dominique Rodgers-Cromartie,Arizona Cardinals,crd,2009,16,7,0,finger ankle toe,4.0,15.0,0,0,0,0,0,1,0,2,DEF,dominique rodgers cromartie,DB,DB,7
Antrel Rolle,Arizona Cardinals,crd,2009,16,5,1,quadriceps foot thigh,3.0,16.0,0,0,0,0,0,0,2,1,DEF,antrel rolle,DB,DB,6
Stephen Spach,Arizona Cardinals,crd,2009,16,7,7,ankle knee,5.0,14.0,0,0,0,0,0,0,1,1,TE,stephen spach,TE,TE,14
Brian St. Pierre,Arizona Cardinals,crd,2009,16,3,3,back,1.0,3.0,0,0,1,0,0,0,0,0,QB,brian st pierre,QB,QB,6
Pago Togafau,Arizona Cardinals,crd,2009,16,16,14,foot,1.0,16.0,0,0,0,0,0,0,0,1,DEF,pago togafau,LB,LB,30
Greg Toler,Arizona Cardinals,crd,2009,16,1,0,elbow,16.0,16.0,0,0,0,0,1,0,0,0,DEF,greg toler,,,1
Matt Ware,Arizona Cardinals,crd,2009,16,5,5,shoulder knee,2.0,16.0,0,1,0,0,0,0,1,0,DEF,matt ware,DB,DB,10
Kurt Warner,Arizona Cardinals,crd,2009,16,4,1,shoulder head,3.0,12.0,1,1,0,0,0,0,0,0,QB,kurt warner,QB,QB,5
Beanie Wells,Arizona Cardinals,crd,2009,16,2,0,hip groin,6.0,16.0,0,0,0,1,0,0,1,0,RB,beanie wells,,RB,2
Reggie Wells,Arizona Cardinals,crd,2009,16,9,0,thumb,2.0,10.0,0,0,0,0,0,1,0,0,OL,reggie wells,OL,OL,9
Adrian Wilson,Arizona Cardinals,crd,2009,16,1,0,groin,10.0,10.0,0,0,0,0,0,0,1,0,DEF,adrian wilson,DB,DB,1
Jason Wright,Arizona Cardinals,crd,2009,16,3,0,back thumb illness,5.0,13.0,0,0,1,0,0,1,0,0,RB,jason wright,RB,RB,3
John Abraham,Atlanta Falcons,atl,2009,16,3,0,knee  foot,1.0,8.0,0,0,0,0,0,0,1,1,DEF,john abraham,DL,DL,3
Jamaal Anderson,Atlanta Falcons,atl,2009,16,3,3,chest,14.0,16.0,0,0,1,0,0,0,0,0,DEF,jamaal anderson,DL,DL,6
Jonathan Babineaux,Atlanta Falcons,atl,2009,16,6,0,ankle shoulder,7.0,16.0,0,1,0,0,0,0,0,1,DEF,jonathan babineaux,DL,DL,6
Sam Baker,Atlanta Falcons,atl,2009,16,10,2,ankle elbow elbow hamstring,7.0,16.0,0,0,0,0,2,0,1,1,OL,sam baker,OL,OL,12
Kroy Biermann,Atlanta Falcons,atl,2009,16,2,0,neck,7.0,9.0,1,0,0,0,0,0,0,0,DEF,kroy biermann,DL,DL,2
Marty Booker,Atlanta Falcons,atl,2009,16,1,0,abdomen,5.0,5.0,0,0,1,0,0,0,0,0,WR,marty booker,WR,WR,1
Matt Bryant,Atlanta Falcons,atl,2009,16,1,0,hamstring,16.0,16.0,0,0,0,0,0,0,1,0,K,matt bryant,,,1
Tyson Clabo,Atlanta Falcons,atl,2009,16,1,0,knee,11.0,11.0,0,0,0,0,0,0,1,0,OL,tyson clabo,OL,OL,1
Erik Coleman,Atlanta Falcons,atl,2009,16,2,0,knee,10.0,11.0,0,0,0,0,0,0,1,0,DEF,erik coleman,DB,DB,2
Harvey Dahl,Atlanta Falcons,atl,2009,16,5,5,ankle ankle achilles,12.0,16.0,0,0,0,0,0,0,0,3,OL,harvey dahl,OL,OL,10
Chauncey Davis,Atlanta Falcons,atl,2009,16,1,0,foot,1.0,1.0,0,0,0,0,0,0,0,1,DEF,chauncey davis,DL,DL,1
Harry Douglas,Atlanta Falcons,atl,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
Jason Elam,Atlanta Falcons,atl,2009,16,4,0,hamstring,2.0,5.0,0,0,0,0,0,0,1,0,K,jason elam,,,4
Brian Finneran,Atlanta Falcons,atl,2009,16,8,6,ankle knee,8.0,16.0,0,0,0,0,0,0,1,1,WR,brian finneran,WR,WR,14
Tony Gilbert,Atlanta Falcons,atl,2009,16,7,4,hamstring  knee,1.0,16.0,0,0,0,0,0,0,2,0,DEF,tony gilbert,LB,LB,11
Tony Gonzalez,Atlanta Falcons,atl,2009,16,2,0,back calf,3.0,16.0,0,0,1,0,0,0,1,0,TE,tony gonzalez,TE,TE,2
Antoine Harris,Atlanta Falcons,atl,2009,16,7,6,knee,4.0,16.0,0,0,0,0,0,0,1,0,DEF,antoine harris,DB,DB,13
Chris Houston,Atlanta Falcons,atl,2009,16,4,4,hamstring,13.0,16.0,0,0,0,0,0,0,1,0,DEF,chris houston,DB,DB,8
Michael Jenkins,Atlanta Falcons,atl,2009,16,3,1,ankle,12.0,14.0,0,0,0,0,0,0,0,1,WR,michael jenkins,WR,WR,4
Peria Jerry,Atlanta Falcons,atl,2009,16,15,14,chest knee,2.0,16.0,0,0,1,0,0,0,1,0,DEF,peria jerry,DL,DL,29
Thomas Johnson,Atlanta Falcons,atl,2009,16,4,3,calf knee,7.0,16.0,0,0,0,0,0,0,2,0,DEF,thomas johnson,DL,DL,7
Michael Koenen,Atlanta Falcons,atl,2009,16,1,0,head,16.0,16.0,1,0,0,0,0,0,0,0,P,michael koenen,,,1
Curtis Lofton,Atlanta Falcons,atl,2009,16,6,0,knee ankle knee knee groin shoulder hamstring,8.0,16.0,0,1,0,0,0,0,5,1,DEF,curtis lofton,LB,LB,6
Todd McClure,Atlanta Falcons,atl,2009,16,3,0,calf  knee,1.0,14.0,0,0,0,0,0,0,2,0,OL,todd mcclure,OL,OL,3
William Moore,Atlanta Falcons,atl,2009,16,14,14,hamstring,1.0,16.0,0,0,0,0,0,0,1,0,DEF,william moore,DB,DB,28
Ovie Mughelli,Atlanta Falcons,atl,2009,16,4,2,hamstring calf,4.0,7.0,0,0,0,0,0,0,2,0,RB,ovie mughelli,RB,RB,6
Jerious Norwood,Atlanta Falcons,atl,2009,16,8,6,knee  head hip,1.0,11.0,1,0,0,1,0,0,1,0,RB,jerious norwood,RB,RB,14
Chris Owens,Atlanta Falcons,atl,2009,16,3,0,shoulder ankle,7.0,16.0,0,1,0,0,0,0,0,1,DEF,chris owens,,,3
Justin Peelle,Atlanta Falcons,atl,2009,16,4,1,back ankle concussion head,3.0,14.0,2,0,1,0,0,0,0,1,TE,justin peelle,TE,TE,5
Charlie Peprah,Atlanta Falcons,atl,2009,16,2,2,hamstring,15.0,16.0,0,0,0,0,0,0,1,0,DEF,charlie peprah,DB,DB,4
Matt Ryan,Atlanta Falcons,atl,2009,16,5,2,toe,12.0,16.0,0,0,0,0,0,0,0,1,QB,matt ryan,QB,QB,7
Mike Schneck,Atlanta Falcons,atl,2009,16,3,1,knee  back ribs,1.0,8.0,0,0,2,0,0,0,1,0,OL,mike schneck,,OL,4
Jason Snelling,Atlanta Falcons,atl,2009,16,3,2,hamstring,7.0,9.0,0,0,0,0,0,0,1,0,RB,jason snelling,RB,RB,5
Will Svitek,Atlanta Falcons,atl,2009,16,2,0,ankle,13.0,14.0,0,0,0,0,0,0,0,1,OL,will svitek,OL,OL,2
Michael Turner,Atlanta Falcons,atl,2009,16,7,5,chest ankle,6.0,16.0,0,0,1,0,0,0,0,1,RB,michael turner,RB,RB,12
Eric Weems,Atlanta Falcons,atl,2009,16,2,0,ankle head,8.0,16.0,1,0,0,0,0,0,0,1,WR,eric weems,WR,WR,2
Roddy White,Atlanta Falcons,atl,2009,16,7,0,knee,8.0,14.0,0,0,0,0,0,0,1,0,WR,roddy white,WR,WR,7
Brian Williams,Atlanta Falcons,atl,2009,16,12,11,eye knee,5.0,16.0,1,0,0,0,0,0,1,0,DEF,brian williams,DB,DB,23
Keith Zinger,Atlanta Falcons,atl,2009,16,1,0,back,8.0,8.0,0,0,1,0,0,0,0,0,TE,keith zinger,TE,TE,1
Brendon Ayanbadejo,Baltimore Ravens,rav,2009,16,13,12,foot  quadriceps,1.0,16.0,0,0,0,0,0,0,1,1,DEF,brendon ayanbadejo,LB,LB,25
Justin Bannan,Baltimore Ravens,rav,2009,16,3,0,knee illness,3.0,15.0,0,0,0,0,0,0,1,0,DEF,justin bannan,DL,DL,3
Antwan Barnes,Baltimore Ravens,rav,2009,16,1,0,shoulder,4.0,4.0,0,1,0,0,0,0,0,0,DEF,antwan barnes,LB,LB,1
Matt Birk,Baltimore Ravens,rav,2009,16,5,0,neck,10.0,15.0,1,0,0,0,0,0,0,0,OL,matt birk,OL,OL,5
Prescott Burgess,Baltimore Ravens,rav,2009,16,2,0,illness thigh,8.0,12.0,0,0,0,0,0,0,1,0,DEF,prescott burgess,LB,LB,2
Chris Carr,Baltimore Ravens,rav,2009,16,2,0,groin illness,5.0,9.0,0,0,0,0,0,0,1,0,DEF,chris carr,DB,DB,2
Mark Clayton,Baltimore Ravens,rav,2009,16,4,2,shoulder hamstring knee,6.0,15.0,0,1,0,0,0,0,2,0,WR,mark clayton,WR,WR,6
Oniel Cousins,Baltimore Ravens,rav,2009,16,1,0,knee,16.0,16.0,0,0,0,0,0,0,1,0,OL,oniel cousins,OL,OL,1
Billy Cundiff,Baltimore Ravens,rav,2009,16,1,0,concussion,13.0,13.0,1,0,0,0,0,0,0,0,K,billy cundiff,,,1
Lamar Divens,Baltimore Ravens,rav,2009,16,16,16,hip,1.0,16.0,0,0,0,1,0,0,0,0,,,,,32
Dannell Ellerbe,Baltimore Ravens,rav,2009,16,3,2,knee  illness,1.0,9.0,0,0,0,0,0,0,1,0,DEF,dannell ellerbe,LB,LB,5
Joe Flacco,Baltimore Ravens,rav,2009,16,4,0,ankle knee knee hip,7.0,13.0,0,0,0,1,0,0,2,1,QB,joe flacco,QB,QB,4
Jared Gaither,Baltimore Ravens,rav,2009,16,10,5,illness neck foot,3.0,16.0,1,0,0,0,0,0,0,1,OL,jared gaither,OL,OL,15
K.J. Gerard,Baltimore Ravens,rav,2009,16,4,4,thigh hamstring,12.0,16.0,0,0,0,0,0,0,2,0,DEF,kj gerard,DB,DB,8
Tavares Gooden,Baltimore Ravens,rav,2009,16,8,4,knee shoulder head shoulder head concussion groin,2.0,16.0,3,2,0,0,0,0,2,0,DEF,tavares gooden,LB,LB,12
David Hale,Baltimore Ravens,rav,2009,16,1,1,head,13.0,13.0,1,0,0,0,0,0,0,0,OL,david hale,OL,OL,2
Justin Harper,Baltimore Ravens,rav,2009,16,1,1,foot,15.0,15.0,0,0,0,0,0,0,0,1,WR,justin harper,WR,WR,2
Stephen Hauschka,Baltimore Ravens,rav,2009,16,1,0,ankle,7.0,7.0,0,0,0,0,0,0,0,1,K,stephen hauschka,,,1
Todd Heap,Baltimore Ravens,rav,2009,16,6,0,back ankle chest,4.0,15.0,0,0,2,0,0,0,0,1,TE,todd heap,TE,TE,6
Jarret Johnson,Baltimore Ravens,rav,2009,16,14,0,shoulder back knee back knee back knee,2.0,16.0,0,1,3,0,0,0,3,0,DEF,jarret johnson,LB,LB,14
Edgar Jones,Baltimore Ravens,rav,2009,16,2,0,hamstring back,6.0,15.0,0,0,1,0,0,0,1,0,DEF,edgar jones,TE,TE,2
Matt Katula,Baltimore Ravens,rav,2009,16,2,0,elbow forearm,8.0,15.0,1,0,0,0,2,0,0,0,OL,matt katula,,OL,2
Matt Lawrence,Baltimore Ravens,rav,2009,16,8,8,knee,9.0,16.0,0,0,0,0,0,0,1,0,RB,matt lawrence,RB,RB,16
Ray Lewis,Baltimore Ravens,rav,2009,16,4,0,head foot,4.0,12.0,1,0,0,0,0,0,0,1,,,,,4
Derrick Mason,Baltimore Ravens,rav,2009,16,4,0,illness neck finger knee,4.0,16.0,1,0,0,0,0,1,1,0,WR,derrick mason,WR,WR,4
Le'Ron McClain,Baltimore Ravens,rav,2009,16,2,0,shoulder chest,8.0,12.0,0,1,1,0,0,0,0,0,RB,leron mcclain,RB,RB,2
Brandon McKinney,Baltimore Ravens,rav,2009,16,4,4,back,13.0,16.0,0,0,1,0,0,0,0,0,DEF,brandon mckinney,DL,DL,8
Haruki Nakamura,Baltimore Ravens,rav,2009,16,9,7,chest ankle,8.0,16.0,0,0,1,0,0,0,0,1,DEF,haruki nakamura,DB,DB,16
Haloti Ngata,Baltimore Ravens,rav,2009,16,10,2,knee  back ankle,1.0,15.0,0,0,1,0,0,0,1,1,DEF,haloti ngata,DL,DL,12
Marcus Paschal,Baltimore Ravens,rav,2009,16,0,0,,,,0,0,0,0,0,0,0,0,DEF,marcus paschal,DB,DB,0
Jason Phillips,Baltimore Ravens,rav,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
Trevor Pryce,Baltimore Ravens,rav,2009,16,2,0,illness,4.0,16.0,0,0,0,0,0,0,0,0,DEF,trevor pryce,DL,DL,2
Ed Reed,Baltimore Ravens,rav,2009,16,11,4,concussion neck knee illness wrist foot ankle hip groin foot groin,2.0,16.0,2,0,0,1,0,1,3,3,DEF,ed reed,DB,DB,15
Ray Rice,Baltimore Ravens,rav,2009,16,1,0,chest,14.0,14.0,0,0,1,0,0,0,0,0,RB,ray rice,RB,RB,1
Samari Rolle,Baltimore Ravens,rav,2009,16,16,16,neck,1.0,16.0,1,0,0,0,0,0,0,0,,,,,32
L.J. Smith,Baltimore Ravens,rav,2009,16,8,4,hamstring  illness ankle,1.0,15.0,0,0,0,0,0,0,1,1,TE,lj smith,TE,TE,12
Marcus Smith,Baltimore Ravens,rav,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
Troy Smith,Baltimore Ravens,rav,2009,16,1,1,illness,4.0,4.0,0,0,0,0,0,0,0,0,QB,troy smith,QB,QB,2
Terrell Suggs,Baltimore Ravens,rav,2009,16,7,3,concussion knee thigh,2.0,16.0,1,0,0,0,0,0,2,0,DEF,terrell suggs,LB,LB,10
Quinn Sypniewski,Baltimore Ravens,rav,2009,16,16,16,undisclosed,1.0,16.0,0,0,0,0,0,0,0,0,,,,,32
Kelly Talavou,Baltimore Ravens,rav,2009,16,1,1,knee,15.0,15.0,0,0,0,0,0,0,1,0,DEF,kelly talavou,DL,DL,2
Adam Terry,Baltimore Ravens,rav,2009,16,16,16,knee,1.0,16.0,0,0,0,0,0,0,1,0,,,,,32
David Tyree,Baltimore Ravens,rav,2009,16,2,1,hamstring,6.0,7.0,0,0,0,0,0,0,1,0,WR,david tyree,WR,WR,3
Frank Walker,Baltimore Ravens,rav,2009,16,1,1,illness,8.0,8.0,0,0,0,0,0,0,0,0,DEF,frank walker,DB,DB,2
Fabian Washington,Baltimore Ravens,rav,2009,16,8,6,concussion illness thigh knee,3.0,16.0,1,0,0,0,0,0,2,0,DEF,fabian washington,DB,DB,14
Kelley Washington,Baltimore Ravens,rav,2009,16,5,1,groin back illness ankle,4.0,15.0,0,0,1,0,0,0,1,1,WR,kelley washington,WR,WR,6
Lardarius Webb,Baltimore Ravens,rav,2009,16,3,2,illness knee,9.0,16.0,0,0,0,0,0,0,1,0,DEF,lardarius webb,DB,DB,5
Cary Williams,Baltimore Ravens,rav,2009,16,2,0,thigh,12.0,16.0,0,0,0,0,0,0,1,0,DEF,cary williams,DB,DB,2
Demetrius Williams,Baltimore Ravens,rav,2009,16,2,0,illness,5.0,12.0,0,0,0,0,0,0,0,0,WR,demetrius williams,WR,WR,2
Marshal Yanda,Baltimore Ravens,rav,2009,16,0,0,,,,0,0,0,0,0,0,0,0,OL,marshal yanda,OL,OL,0
Tom Zbikowski,Baltimore Ravens,rav,2009,16,3,1,concussion illness,2.0,8.0,1,0,0,0,0,0,0,0,DEF,tom zbikowski,DB,DB,4
Demetress Bell,Buffalo Bills,buf,2009,16,9,8,groin knee,4.0,16.0,0,0,0,0,0,0,2,0,OL,demetress bell,,OL,17
Marcus Buggs,Buffalo Bills,buf,2009,16,11,11,knee,6.0,16.0,0,0,0,0,0,0,1,0,DEF,marcus buggs,LB,LB,22
Brad Butler,Buffalo Bills,buf,2009,16,14,14,knee,3.0,16.0,0,0,0,0,0,0,1,0,OL,brad butler,OL,OL,28
Jairus Byrd,Buffalo Bills,buf,2009,16,9,2,hip groin undisclosed,5.0,16.0,0,0,0,1,0,0,1,0,DEF,jairus byrd,DB,DB,11
Kirk Chambers,Buffalo Bills,buf,2009,16,1,0,ankle,13.0,13.0,0,0,0,0,0,0,0,1,OL,kirk chambers,OL,OL,1
Ryan Denney,Buffalo Bills,buf,2009,16,1,0,shoulder,13.0,13.0,0,1,0,0,0,0,0,0,DEF,ryan denney,DL,DL,1
Chris Draft,Buffalo Bills,buf,2009,16,2,0,neck,12.0,13.0,1,0,0,0,0,0,0,0,DEF,chris draft,LB,LB,2
Trent Edwards,Buffalo Bills,buf,2009,16,5,4,concussion ankle,7.0,16.0,1,0,0,0,0,0,0,1,QB,trent edwards,QB,QB,9
Chris Ellis,Buffalo Bills,buf,2009,16,2,2,personal,4.0,5.0,0,0,0,0,0,0,0,0,DEF,chris ellis,DL,DL,4
Keith Ellison,Buffalo Bills,buf,2009,16,9,8,knee thigh,6.0,16.0,0,0,0,0,0,0,2,0,DEF,keith ellison,LB,LB,17
Derek Fine,Buffalo Bills,buf,2009,16,9,8,hamstring  knee,1.0,16.0,0,0,0,0,0,0,2,0,TE,derek fine,TE,TE,17
Ryan Fitzpatrick,Buffalo Bills,buf,2009,16,2,1,ankle,15.0,16.0,0,0,0,0,0,0,0,1,QB,ryan fitzpatrick,QB,QB,3
Drayton Florence,Buffalo Bills,buf,2009,16,4,2,knee  illness,1.0,15.0,0,0,0,0,0,0,1,0,DEF,drayton florence,DB,DB,6
Geoff Hangartner,Buffalo Bills,buf,2009,16,1,0,back,3.0,3.0,0,0,1,0,0,0,0,0,OL,geoff hangartner,OL,OL,1
James Hardy,Buffalo Bills,buf,2009,16,12,11,knee groin  illness,1.0,15.0,0,0,0,0,0,0,2,0,WR,james hardy,WR,WR,23
Nic Harris,Buffalo Bills,buf,2009,16,3,1,personal knee,11.0,16.0,0,0,0,0,0,0,1,0,DEF,nic harris,LB,LB,4
Justin Jenkins,Buffalo Bills,buf,2009,16,3,1,illness knee,10.0,14.0,0,0,0,0,0,0,1,0,WR,justin jenkins,WR,WR,4
Spencer Johnson,Buffalo Bills,buf,2009,16,1,0,thigh,1.0,1.0,0,0,0,0,0,0,1,0,DEF,spencer johnson,DL,DL,1
Steve Johnson,Buffalo Bills,buf,2009,16,1,1,ankle,16.0,16.0,0,0,0,0,0,0,0,1,WR,steve johnson,WR,WR,2
Todd Johnson,Buffalo Bills,buf,2009,16,3,2,hamstring,13.0,16.0,0,0,0,0,0,0,1,0,DEF,todd johnson,DB,DB,5
Chris Kelsay,Buffalo Bills,buf,2009,16,5,0,knee eye back shoulder,2.0,12.0,1,1,1,0,0,0,1,0,DEF,chris kelsay,DL,DL,5
Joe Klopfenstein,Buffalo Bills,buf,2009,16,2,2,ankle,13.0,14.0,0,0,0,0,0,0,0,1,TE,joe klopfenstein,TE,TE,4
Ellis Lankster,Buffalo Bills,buf,2009,16,1,1,back,5.0,5.0,0,0,1,0,0,0,0,0,DEF,ellis lankster,DB,DB,2
Andy Levitre,Buffalo Bills,buf,2009,16,1,0,shoulder,13.0,13.0,0,1,0,0,0,0,0,0,OL,andy levitre,OL,OL,1
Marshawn Lynch,Buffalo Bills,buf,2009,16,2,0,served shoulder,4.0,11.0,0,1,0,0,0,0,0,0,RB,marshawn lynch,RB,RB,2
John McCargo,Buffalo Bills,buf,2009,16,6,5,calf,3.0,13.0,0,0,0,0,0,0,1,0,DEF,john mccargo,DL,DL,11
Terrence McGee,Buffalo Bills,buf,2009,16,12,5,back ankle knee chest shoulder,2.0,16.0,0,1,2,0,0,0,1,1,DEF,terrence mcgee,DB,DB,17
Corey McIntyre,Buffalo Bills,buf,2009,16,2,1,knee,8.0,9.0,0,0,0,0,0,0,1,0,RB,corey mcintyre,RB,RB,3
Leodis McKelvin,Buffalo Bills,buf,2009,16,14,13,fibula,3.0,16.0,0,0,0,0,0,0,1,0,DEF,leodis mckelvin,DB,DB,27
Seth McKinney,Buffalo Bills,buf,2009,16,6,6,knee,11.0,16.0,0,0,0,0,0,0,1,0,OL,seth mckinney,OL,OL,12
Jamon Meredith,Buffalo Bills,buf,2009,16,2,2,knee ankle,9.0,14.0,0,0,0,0,0,0,1,1,OL,jamon meredith,OL,OL,4
Kawika Mitchell,Buffalo Bills,buf,2009,16,11,11,knee,6.0,16.0,0,0,0,0,0,0,1,0,DEF,kawika mitchell,LB,LB,22
Shawn Nelson,Buffalo Bills,buf,2009,16,7,4,shoulder illness,3.0,16.0,0,1,0,0,0,0,0,0,TE,shawn nelson,TE,TE,11
Xavier Omon,Buffalo Bills,buf,2009,16,1,1,illness,7.0,7.0,0,0,0,0,0,0,0,0,RB,xavier omon,RB,RB,2
Terrell Owens,Buffalo Bills,buf,2009,16,2,0,hip illness,9.0,14.0,0,0,0,1,0,0,0,0,WR,terrell owens,WR,WR,2
Ashlee Palmer,Buffalo Bills,buf,2009,16,2,1,ankle,15.0,16.0,0,0,0,0,0,0,0,1,DEF,ashlee palmer,LB,LB,3
Roscoe Parrish,Buffalo Bills,buf,2009,16,4,2,quadriceps thigh knee illness,3.0,10.0,0,0,0,0,0,0,3,0,WR,roscoe parrish,WR,WR,6
Paul Posluszny,Buffalo Bills,buf,2009,16,5,4,arm,2.0,6.0,0,0,0,0,1,0,0,0,DEF,paul posluszny,LB,LB,9
Andre Ramsey,Buffalo Bills,buf,2009,16,1,1,calf,16.0,16.0,0,0,0,0,0,0,1,0,OL,andre ramsey,OL,OL,2
Josh Reed,Buffalo Bills,buf,2009,16,4,2,ankle fibula,3.0,16.0,0,0,0,0,0,0,1,1,WR,josh reed,WR,WR,6
Aaron Schobel,Buffalo Bills,buf,2009,16,2,0,back groin,2.0,9.0,0,0,1,0,0,0,1,0,DEF,aaron schobel,DL,DL,2
Derek Schouman,Buffalo Bills,buf,2009,16,14,14,knee,3.0,16.0,0,0,0,0,0,0,1,0,TE,derek schouman,TE,TE,28
Bryan Scott,Buffalo Bills,buf,2009,16,8,7,ankle head,4.0,16.0,1,0,0,0,0,0,0,1,DEF,bryan scott,DB,DB,15
Jonathan Scott,Buffalo Bills,buf,2009,16,6,5,ankle eye,6.0,16.0,1,0,0,0,0,0,0,1,OL,jonathan scott,OL,OL,11
Kendall Simmons,Buffalo Bills,buf,2009,16,2,2,shoulder,14.0,15.0,0,1,0,0,0,0,0,0,OL,kendall simmons,OL,OL,4
Marcus Stroud,Buffalo Bills,buf,2009,16,4,1,knee back,10.0,16.0,0,0,1,0,0,0,1,0,DEF,marcus stroud,DL,DL,5
Jonathan Stupar,Buffalo Bills,buf,2009,16,1,0,knee,16.0,16.0,0,0,0,0,0,0,1,0,TE,jonathan stupar,TE,TE,1
Donte Whitner,Buffalo Bills,buf,2009,16,7,6,thumb ankle illness,4.0,16.0,0,0,0,0,0,1,0,1,DEF,donte whitner,DB,DB,13
Kyle Williams,Buffalo Bills,buf,2009,16,4,2,groin knee,4.0,10.0,0,0,0,0,0,0,2,0,DEF,kyle williams,DL,DL,6
